
episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance
77,T,4990,0,20
98,T,4938,0,20
78,T,4983,0,20
98,T,4961,0,20
95,T,4959,0,20
102,T,4952,0,20
99,T,4965,0,20
79,T,4963,0,20
96,T,4972,0,20
100,T,4895,0,20
99,T,4968,0,20
80,T,4972,0,20
112,T,4888,0,20
103,T,4952,0,20
113,T,4979,0,20
103,T,4874,0,20
114,T,4994,0,20
81,T,4958,0,20
101,T,4945,0,20
97,T,4939,0,20
115,T,4983,0,20
100,T,4933,0,20
82,T,4981,0,20
104,T,4936,0,20
104,T,4954,0,20
100,T,4880,0,20
102,T,4949,0,20
98,T,4948,0,20
101,T,4982,0,20
101,T,4953,0,20
102,T,4975,0,20
105,T,4935,0,20
99,T,4942,0,20
103,T,4969,0,20
103,T,4929,0,20
106,T,4974,0,20
102,T,4924,0,20
104,T,4962,0,20
105,T,4853,0,20
103,T,4943,0,20
107,T,4924,0,20
108,T,4969,0,20
104,T,4950,0,20
105,T,4887,0,20
83,T,4739,0,20
109,T,4942,0,20
104,T,4833,0,20
84,T,4985,0,20
105,T,4943,0,20
110,T,4981,0,20
106,T,4952,0,20
105,T,4969,0,20
100,T,4781,0,20
85,T,4938,0,20
111,T,4945,0,20
106,T,4922,0,20
106,T,4791,0,20
106,T,4927,0,20
107,T,4899,0,20
101,T,4899,0,20
112,T,4926,0,20
86,T,4919,0,20
107,T,4956,0,20
102,T,4986,0,20
107,T,4917,0,20
108,T,4946,0,20
87,T,4944,0,20
108,T,4940,0,20
109,T,4969,0,20
103,T,4936,0,20
104,T,4986,0,20
108,T,4922,0,20
116,T,4470,0,20
109,T,4958,0,20
107,T,4842,0,20
84,T,4157,0,20
85,T,4992,0,20
109,T,4956,0,20
105,T,4934,0,20
88,T,4900,0,20
110,T,4904,0,20
106,T,4985,0,20
110,T,4932,0,20
89,T,4974,0,20
86,T,4949,0,20
110,T,4956,0,20
90,T,4976,0,20
108,T,4904,0,20
111,T,4961,0,20
87,T,4954,0,20
107,T,4937,0,20
91,T,4969,0,20
109,T,4969,0,20
92,T,4995,0,20
88,T,4983,0,20
110,T,4965,0,20
93,T,4965,0,20
89,T,4961,0,20
117,T,4815,0,20
111,T,4861,0,20
111,T,4975,0,20
112,T,4924,0,20
90,T,4977,0,20
91,T,4997,0,20
112,T,4978,0,20
113,T,4967,0,20
113,T,4978,0,20
94,T,4933,0,20
108,T,4883,0,20
92,T,4957,0,20
114,T,4969,0,20
109,T,4969,0,20
95,T,4949,0,20
118,T,4878,0,20
114,T,4927,0,20
110,T,4969,0,20
115,T,4984,0,20
96,T,4959,0,20
119,T,4972,0,20
111,T,4964,0,20
120,T,4976,0,20
116,T,4962,0,20
97,T,4956,0,20
98,T,4988,0,20
121,T,4961,0,20
93,T,4845,0,20
112,T,4925,0,20
99,T,4968,0,20
94,T,4985,0,20
122,T,4969,0,20
95,T,4988,0,20
117,T,4925,0,20
100,T,4982,0,20
113,T,4978,0,20
96,T,4978,0,20
112,T,4742,0,20
101,T,4979,0,20
118,T,4972,0,20
115,T,4792,0,20
102,T,4981,0,20
97,T,4973,0,20
103,T,4994,0,20
113,T,4970,0,20
114,T,4938,0,20
116,T,4975,0,20
104,T,4951,0,20
117,T,4965,0,20
111,T,4523,0,20
98,T,4916,0,20
115,T,4931,0,20
118,T,4962,0,20
116,T,4981,0,20
123,T,4831,0,20
117,T,4989,0,20
114,T,4861,0,20
118,T,4963,0,20
124,T,4954,0,20
105,T,4890,0,20
112,T,4897,0,20
115,T,4972,0,20
116,T,4954,0,20
106,T,4929,0,20
119,T,4858,0,20
113,T,4919,0,20
99,T,4818,0,20
125,T,4890,0,20
119,T,4711,0,20
120,T,4978,0,20
107,T,4938,0,20
100,T,4967,0,20
108,T,4990,0,20
126,T,4965,0,20
114,T,4928,0,20
101,T,4975,0,20
121,T,4953,0,20
109,T,4962,0,20
102,T,4976,0,20
127,T,4952,0,20
117,T,4855,0,20
115,T,4948,0,20
110,T,4948,0,20
116,T,4971,0,20
118,T,4963,0,20
103,T,4949,0,20
104,T,4986,0,20
111,T,4973,0,20
117,T,4975,0,20
105,T,4979,0,20
128,T,4917,0,20
118,T,4969,0,20
119,T,4702,0,20
119,T,4934,0,20
122,T,4868,0,20
112,T,4935,0,20
106,T,4933,0,20
113,T,4966,0,20
107,T,4957,0,20
113,T,3869,0,20
120,T,4910,0,20
114,T,4969,0,20
120,T,4912,0,20
129,T,4877,0,20
121,T,4968,0,20
115,T,4974,0,20
123,T,4893,0,20
119,T,4866,0,20
122,T,4982,0,20
121,T,4941,0,20
124,T,4963,0,20
123,T,4970,0,20
130,T,4934,0,20
116,T,4951,0,20
108,T,4915,0,20
120,T,4593,0,20
125,T,4949,0,20
109,T,4960,0,20
117,T,4946,0,20
131,T,4943,0,20
120,T,4902,0,20
124,T,4933,0,20
122,T,4910,0,20
121,T,4938,0,20
126,T,4957,0,20
121,T,4959,0,20
