
episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers
30,S,4999,0,325,2,0
51,S,4991,0,325,2,0
52,S,4999,0,325,2,0
31,S,4995,0,325,2,0
32,S,4999,0,325,2,0
25,S,4986,0,325,2,0
26,S,4999,0,325,2,0
53,S,4996,0,325,2,0
54,S,4999,0,325,2,0
49,S,4885,0,325,2,0
33,S,4987,0,325,2,0
50,S,4999,0,325,2,0
34,S,4999,0,325,2,0
55,S,4986,0,325,2,0
56,S,4999,0,325,2,0
35,S,4995,0,325,2,0
73,S,4943,0,325,2,0
36,S,4999,0,325,2,0
57,S,4998,0,325,2,0
74,S,4999,0,325,2,0
58,S,4999,0,325,2,0
41,S,4952,0,325,2,0
42,S,4999,0,325,2,0
27,S,4970,0,325,2,0
49,S,4952,0,325,2,0
28,S,4999,0,325,2,0
51,S,4982,0,325,2,0
50,S,4999,0,325,2,0
52,S,4999,0,325,2,0
65,S,4921,0,325,2,0
66,S,4999,0,325,2,0
11,S,4920,0,325,2,0
12,S,4999,0,325,2,0
53,S,4985,0,325,2,0
54,S,4999,0,325,2,0
29,S,4983,0,325,2,0
30,S,4999,0,325,2,0
59,S,4969,0,325,2,0
60,S,4999,0,325,2,0
13,S,4993,0,325,2,0
14,S,4999,0,325,2,0
75,S,4963,0,325,2,0
51,S,4975,0,325,2,0
76,S,4999,0,325,2,0
52,S,4999,0,325,2,0
55,S,4984,0,325,2,0
56,S,4999,0,325,2,0
77,S,4986,0,325,2,0
78,S,4999,0,325,2,0
57,S,4989,0,325,2,0
58,S,4999,0,325,2,0
67,S,4964,0,325,2,0
31,S,4969,0,325,2,0
68,S,4999,0,325,2,0
32,S,4999,0,325,2,0
79,S,4988,0,325,2,0
80,S,4999,0,325,2,0
15,S,4969,0,325,2,0
33,S,4996,0,325,2,0
16,S,4999,0,325,2,0
34,S,4999,0,325,2,0
81,S,4991,0,325,2,0
82,S,4999,0,325,2,0
69,S,4986,0,325,2,0
70,S,4999,0,325,2,0
83,S,4993,0,325,2,0
84,S,4999,0,325,2,0
35,S,4980,0,325,2,0
36,S,4999,0,325,2,0
53,S,4940,0,325,2,0
54,S,4999,0,325,2,0
59,S,4959,0,325,2,0
61,S,4934,0,325,2,0
60,S,4999,0,325,2,0
62,S,4999,0,325,2,0
37,S,4983,0,325,2,0
37,S,4895,0,325,2,0
38,S,4999,0,325,2,0
38,S,4999,0,325,2,0
39,S,4992,0,325,2,0
40,S,4999,0,325,2,0
71,S,4956,0,325,2,0
72,S,4999,0,325,2,0
39,S,4984,0,325,2,0
40,S,4999,0,325,2,0
55,S,4976,0,325,2,0
56,S,4999,0,325,2,0
57,S,4994,0,325,2,0
58,S,4999,0,325,2,0
61,S,4968,0,325,2,0
62,S,4999,0,325,2,0
59,S,4991,0,325,2,0
60,S,4999,0,325,2,0
73,S,4977,0,325,2,0
74,S,4999,0,325,2,0
85,S,4935,0,325,2,0
86,S,4999,0,325,2,0
61,S,4991,0,325,2,0
62,S,4999,0,325,2,0
43,S,4850,0,325,2,0
44,S,4999,0,325,2,0
41,S,4962,0,325,2,0
41,S,4954,0,325,2,0
42,S,4999,0,325,2,0
42,S,4999,0,325,2,0
75,S,4979,0,325,2,0
76,S,4999,0,325,2,0
87,S,4980,0,325,2,0
88,S,4999,0,325,2,0
43,S,4990,0,325,2,0
44,S,4999,0,325,2,0
43,S,4984,0,325,2,0
44,S,4999,0,325,2,0
77,S,4981,0,325,2,0
78,S,4999,0,325,2,0
63,S,4912,0,325,2,0
64,S,4999,0,325,2,0
89,S,4980,0,325,2,0
90,S,4999,0,325,2,0
45,S,4981,0,325,2,0
46,S,4999,0,325,2,0
65,S,4996,0,325,2,0
66,S,4999,0,325,2,0
79,S,4986,0,325,2,0
80,S,4999,0,325,2,0
47,S,4990,0,325,2,0
48,S,4999,0,325,2,0
63,S,4945,0,325,2,0
64,S,4999,0,325,2,0
67,S,4972,0,325,2,0
68,S,4999,0,325,2,0
45,S,4956,0,325,2,0
91,S,4969,0,325,2,0
46,S,4999,0,325,2,0
92,S,4999,0,325,2,0
49,S,4978,0,325,2,0
50,S,4999,0,325,2,0
93,S,4992,0,325,2,0
94,S,4999,0,325,2,0
69,S,4987,0,325,2,0
70,S,4999,0,325,2,0
47,S,4987,0,325,2,0
48,S,4999,0,325,2,0
65,S,4965,0,325,2,0
66,S,4999,0,325,2,0
95,S,4989,0,325,2,0
96,S,4999,0,325,2,0
81,S,4958,0,325,2,0
82,S,4999,0,325,2,0
67,S,4995,0,325,2,0
68,S,4999,0,325,2,0
71,S,4981,0,325,2,0
72,S,4999,0,325,2,0
69,S,4983,0,325,2,0
70,S,4999,0,325,2,0
83,S,4978,0,325,2,0
84,S,4999,0,325,2,0
63,S,4863,0,325,2,0
64,S,4999,0,325,2,0
73,S,4983,0,325,2,0
74,S,4999,0,325,2,0
49,S,4962,0,325,2,0
50,S,4999,0,325,2,0
97,S,4965,0,325,2,0
98,S,4999,0,325,2,0
45,S,4877,0,325,2,0
46,S,4999,0,325,2,0
71,S,4976,0,325,2,0
72,S,4999,0,325,2,0
47,S,4987,0,325,2,0
48,S,4999,0,325,2,0
75,S,4975,0,325,2,0
76,S,4999,0,325,2,0
73,S,4991,0,325,2,0
74,S,4999,0,325,2,0
49,S,4993,0,325,2,0
50,S,4999,0,325,2,0
99,S,4977,0,325,2,0
100,S,4999,0,325,2.25,0
51,S,4994,0,325,2,0
52,S,4999,0,325,2,0
75,S,4990,0,325,2,0
76,S,4999,0,325,2,0
77,S,4997,0,325,2,0
78,S,4999,0,325,2,0
85,S,4952,0,325,2,0
86,S,4999,0,325,2,0
51,S,4956,0,325,2,0
52,S,4999,0,325,2,0
79,S,4990,0,325,2,0
87,S,4991,0,325,2,0
80,S,4999,0,325,2,0
88,S,4999,0,325,2,0
101,S,4971,0,325,2.5,0
102,S,4999,0,325,2.75,0
51,S,4892,0,325,2,0
52,S,4999,0,325,2,0
89,S,4988,0,325,2,0
90,S,4999,0,325,2,0
53,S,4979,0,325,2,0
54,S,4999,0,325,2,0
91,S,4983,0,325,2,0
92,S,4999,0,325,2,0
77,S,4940,0,325,2,0
78,S,4999,0,325,2,0
93,S,4994,0,325,2,0
94,S,4999,0,325,2,0
79,S,4993,0,325,2,0
55,S,4989,0,325,2,0
80,S,4999,0,325,2,0
56,S,4999,0,325,2,0
53,S,4938,0,325,2,0
54,S,4999,0,325,2,0
81,S,4951,0,325,2,0
55,S,4996,0,325,2,0
82,S,4999,0,325,2,0
56,S,4999,0,325,2,0
53,S,4943,0,325,2,0
54,S,4999,0,325,2,0
57,S,4997,0,325,2,0
58,S,4999,0,325,2,0
55,S,4988,0,325,2,0
56,S,4999,0,325,2,0
57,S,4974,0,325,2,0
58,S,4999,0,325,2,0
65,S,4870,0,325,2,0
66,S,4999,0,325,2,0
103,S,4933,0,325,3,0
104,S,4999,0,325,3.25,0
81,S,4964,0,325,2,0
59,S,4977,0,325,2,0
82,S,4999,0,325,2,0
60,S,4999,0,325,2,0
59,S,4985,0,325,2,0
60,S,4999,0,325,2,0
61,S,4995,0,325,2,0
62,S,4999,0,325,2,0
61,S,4988,0,325,2,0
62,S,4999,0,325,2,0
67,S,4974,0,325,2,0
68,S,4999,0,325,2,0
105,S,4969,0,325,3.5,0
106,S,4999,0,325,3.75,0
63,S,4982,0,325,2,0
64,S,4999,0,325,2,0
65,S,4996,0,325,2,0
66,S,4999,0,325,2,0
69,S,4979,0,325,2,0
70,S,4999,0,325,2,0
83,S,4918,0,325,2,0
71,S,4991,0,325,2,0
84,S,4999,0,325,2,0
72,S,4999,0,325,2,0
107,S,4972,0,325,4,0
108,S,4999,0,325,4.25,0
67,S,4975,0,325,2,0
68,S,4999,0,325,2,0
83,S,4934,0,325,2,0
95,S,4893,0,325,2,0
84,S,4999,0,325,2,0
73,S,4987,0,325,2,0
96,S,4999,0,325,2,0
74,S,4999,0,325,2,0
85,S,4977,0,325,2,0
86,S,4999,0,325,2,0
75,S,4979,0,325,2,0
76,S,4999,0,325,2,0
85,S,4975,0,325,2,0
86,S,4999,0,325,2,0
57,S,4885,0,325,2,0
87,S,4977,0,325,2,0
58,S,4999,0,325,2,0
88,S,4999,0,325,2,0
63,S,4902,0,325,2,0
64,S,4999,0,325,2,0
89,S,4987,0,325,2,0
