
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
69,S,4430,2
99,S,4447,2
89,S,4428,2
120,S,4587,4
57,S,4818,2
91,S,4828,2
81,S,4784,0
70,S,4865,0
51,S,3055,16
82,S,4932,0
121,S,4853,0
83,S,4900,2
90,S,4746,0
122,S,4799,0
101,S,4397,4
58,S,4062,6
91,S,4830,0
59,S,4918,0
84,S,4729,2
85,S,4928,0
92,S,4788,0
90,S,4274,2
102,S,4702,2
93,S,4867,2
92,S,4245,0
91,S,4796,2
71,S,4222,4
72,S,4931,0
93,S,4841,0
103,S,4672,2
72,S,3759,10
92,S,4834,2
94,S,4941,0
104,S,4941,0
93,S,4920,0
58,S,3932,8
73,S,4881,0
105,S,4903,0
95,S,4818,0
100,S,3702,10
52,S,3849,8
94,S,4754,0
106,S,4815,0
59,S,4747,0
94,S,4370,0
96,S,4834,0
123,S,3992,6
86,S,4115,2
95,S,4883,0
95,S,4867,0
107,S,4814,2
101,S,4718,2
97,S,4813,2
96,S,4879,0
98,S,4933,0
102,S,4883,0
97,S,4881,0
96,S,4758,0
53,S,4494,4
124,S,4609,4
97,S,4943,0
60,S,3584,6
74,S,4225,4
98,S,4751,2
99,S,4889,0
75,S,4838,0
125,S,4679,0
100,S,4955,0
101,S,4925,0
87,S,4260,4
98,S,4581,2
108,S,4304,2
54,S,4510,4
99,S,4297,4
99,S,4814,2
100,S,4878,0
103,S,4204,4
76,S,4606,2
88,S,4718,2
101,S,4965,0
100,S,4915,0
55,S,4628,2
102,S,4849,0
104,S,4779,2
89,S,4769,2
103,S,4871,0
126,S,4316,2
90,S,4886,0
56,S,4797,2
127,S,4915,0
73,S,2991,6
104,S,4789,0
102,S,4144,4
103,S,4850,0
104,S,4995,0
128,S,4574,4
109,S,3910,6
105,S,4798,2
91,S,4427,4
105,S,4496,2
110,S,4838,0
129,S,4795,0
60,S,2751,22
77,S,3829,8
92,S,4741,2
61,S,4867,0
106,S,4699,0
130,S,4616,2
74,S,4058,4
75,S,4868,2
106,S,4371,2
61,S,2844,14
107,S,4718,2
76,S,4933,0
57,S,3751,8
111,S,4392,2
